코드,이름,찾는말,빼는말,흔한해석,쉬운설명,주의
RIGHTS_ISSUE,유상증자,유상증자결정,,악재 경향,회사가 새 주식을 찍어 돈을 모은다. 주식 수가 늘어 한 주의 몫이 묽어질 수 있다.,돈을 어디에 쓰는지(빚 갚기/공장 짓기)에 따라 다르게 읽힌다
CONVERTIBLE,전환사채 발행,전환사채권발행결정|신주인수권부사채권발행결정|교환사채권발행결정,,악재 경향,나중에 주식으로 바꿀 수 있는 빚을 낸다. 바뀌면 주식 수가 늘어난다.,전환 가격이 지금 주가보다 많이 낮으면 부담이 크다
BONUS_ISSUE,무상증자,무상증자결정,,짧은 호재 경향,주주에게 공짜로 주식을 더 나눠 준다. 회사 가치는 그대로라 한 주 값은 그만큼 낮아진다.,기대감으로 오르다 곧 되돌아오는 일이 많다
BUYBACK,자사주 취득,자기주식취득결정|자기주식취득신탁계약체결결정,,호재 경향,회사가 제 돈으로 자기 주식을 산다. 시장에 도는 주식이 줄어든다.,사서 소각하지 않고 나중에 다시 팔 수도 있다
CANCEL,자사주 소각,주식소각결정,,호재 경향,사 둔 자기 주식을 아예 없앤다. 남은 주식 한 주의 몫이 커진다.,
TREASURY_SELL,자사주 처분,자기주식처분결정,,악재 경향,회사가 가진 자기 주식을 판다. 시장에 파는 물량이 늘어난다.,임직원 보상용 처분은 영향이 작을 수 있다
CONTRACT,공급계약(수주),단일판매공급계약체결,해지,호재 경향,큰 물건을 팔기로 계약했다.,작년 매출과 견주어 얼마나 큰 계약인지가 중요하다
CONTRACT_CANCEL,공급계약 해지,단일판매공급계약해지,,악재 경향,맺었던 큰 계약이 깨졌다.,
EARNINGS,실적 발표(잠정),영업(잠정)실적|영업잠정실적,,상황 따라,분기 성적표를 먼저 알렸다.,숫자 자체보다 «시장이 기대한 것보다» 좋았나 나빴나가 주가를 움직인다
EARNINGS_SWING,실적 크게 변동,매출액또는손익구조30%|매출액또는손익구조15%,,상황 따라,매출이나 이익이 작년보다 크게 바뀌었다.,좋아졌는지 나빠졌는지 본문을 봐야 한다
MERGER,합병,회사합병결정,,상황 따라,다른 회사와 하나로 합친다.,합병 비율이 우리 주주에게 유리한지가 핵심이다
SPLIT,회사 분할,회사분할결정,,상황 따라,회사를 둘 이상으로 나눈다.,물적분할(자회사로 떼어 냄)은 소액주주에게 불리하다는 말이 많다
DIVIDEND,배당 결정,현금현물배당결정,,상황 따라,주주에게 이익을 나눠 준다.,작년보다 늘었는지 줄었는지가 중요하다
LISTING_RISK,상장 유지 위험,감사보고서제출|상장적격성|관리종목|주권매매거래정지|감사의견,,악재 경향,거래가 멈추거나 상장이 흔들릴 수 있는 일이다.,감사의견 «적정»이면 문제없는 일상 공시다 — 본문 확인 필요
LAWSUIT,소송,소송등의제기,,악재 경향,회사가 소송을 당했거나 걸었다.,청구 금액이 자기자본에 견주어 얼마나 큰지가 중요하다
INSIDER,대주주·임원 지분 변동,최대주주등소유주식변동신고서|임원주요주주특정증권등소유상황보고서,,상황 따라,회사를 잘 아는 사람이 주식을 사거나 팔았다.,샀으면 믿음의 신호·팔았으면 경계 신호로 읽히곤 한다
BLOCK_HOLDING,5% 이상 대량 보유,주식등의대량보유상황보고서,,상황 따라,어떤 투자자가 이 회사 주식을 5% 넘게 가졌거나 비율이 바뀌었다.,경영 참여 목적인지 단순 투자인지 적혀 있다
OTHER,기타,,,해석 안 함,아직 분류표에 없는 공시다.,분류표에 줄을 더하면 잡힌다
